Book_1	Ch_1_1	V_1_1	Ch_1_2	V_1_2	Book_2	Ch_2_1	V_2_1	Ch_2_2	V_2_2	Reverse_ref	After_phrase_word_ref_1	After_phrase_word_ref_2	Comment	Comment_2	NT_Only										
Matthew	9	32	9	34	Matthew	12	22	12	24	TRUE			Dumb demoniac and collusion	97;117;188	TRUE										
Mark	3	22	3	27	Luke	11	14	11	23	TRUE			Dumb demoniac and collusion	97;117;188	TRUE										
Mark	3	22	3	27	Matthew	12	22	12	24	TRUE			Dumb demoniac and collusion	97;117;188	TRUE										
Luke	11	14	11	23	Matthew	12	22	12	24	TRUE			Dumb demoniac and collusion	97;117;188	TRUE										
Matthew	9	35	9	38	Mark	6	34			TRUE			Harvest is great	98	TRUE										
Matthew	9	35	9	38	Luke	8	1			TRUE			Harvest is great	98	TRUE										
Matthew	9	35	9	38	Luke	10	2			TRUE			Harvest is great	98	TRUE										
Mark	6	34			Luke	8	1			TRUE			Harvest is great	98	TRUE										
Mark	6	34			Luke	10	2			TRUE			Harvest is great	98	TRUE										
Luke	8	1			Luke	10	2			TRUE			Harvest is great	98	TRUE										
Matthew	10	5	10	16	Mark	6	7	6	13	TRUE			Sending the 12	99b	TRUE										
Matthew	10	5	10	16	Luke	9	1	9	5	TRUE			Sending the 12	99b	TRUE										
Mark	6	7	6	13	Luke	9	1	9	5	TRUE			Sending the 12	99b	TRUE										
Matthew	10	24	10	25	Luke	6	40			TRUE			Servant not great than master	100a;309a	TRUE										
Matthew	10	24	10	25	John	13	16			TRUE			Servant not great than master	100a;309a	TRUE										
Luke	6	40	0	0	John	13	16	0	0	TRUE			Servant not great than master	100a;309a	TRUE										
Matthew	10	17	10	23	Matthew	24	9	24	14	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	10	17	10	23	Mark	13	9	13	13	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	10	17	10	23	Luke	12	11	12	12	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	10	17	10	23	Luke	21	12	21	19	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	24	9	24	14	Mark	13	9	13	13	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	24	9	24	14	Luke	12	11	12	12	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	24	9	24	14	Luke	21	12	21	19	TRUE			Fate of the disciples	100b;198;298	TRUE										
Mark	13	9	13	13	Luke	12	11	12	12	TRUE			Fate of the disciples	100b;198;298	TRUE										
Mark	13	9	13	13	Luke	21	12	21	19	TRUE			Fate of the disciples	100b;198;298	TRUE										
Luke	12	11	12	12	Luke	21	12	21	19	TRUE			Fate of the disciples	100b;198;298	TRUE										
Matthew	10	26	10	33	Luke	12	2	12	9	TRUE			Fearless confession	101;196	TRUE										
Matthew	10	34	10	36	Luke	12	49	12	53	TRUE			Division within household	102;204	TRUE										
Matthew	10	39			Luke	17	33			TRUE			Find life loses it	103a	TRUE										
Matthew	10	39			John	12	25			TRUE			Find life loses it	103a	TRUE										
Luke	17	33			John	12	25			TRUE			Find life loses it	103a	TRUE										
Matthew	10	37	10	38	Luke	14	25	14	27	TRUE			Hate father and mother	103b;217	TRUE										
Matthew	10	40	10	41	Luke	10	16			TRUE			Receive you receive me	104a;179;309b	TRUE										
Matthew	10	40	10	41	John	13	20			TRUE			Receive you receive me	104a;179;309b	TRUE										
Luke	10	16			John	13	20			TRUE			Receive you receive me	104a;179;309b	TRUE										
Matthew	11	2	11	6	Luke	7	18	7	23	TRUE			John the Baptist’s question and Jesus’s answer	106	TRUE										
Matthew	11	7	11	19	Luke	7	24	7	35	TRUE			Jesus’s witness on John	107	TRUE										
Matthew	11	20	11	24	Luke	10	12	10	15	TRUE			Woes on Galilean cities	108;178	TRUE										
Matthew	11	25	11	27	Luke	10	21	10	22	TRUE			Jesus thankgiving to Father	109;181a	TRUE										
Matthew	26	6	26	13	Mark	14	3	14	9	TRUE			Woman with ointment	114;267;306	TRUE										
Matthew	26	6	26	13	Luke	7	36	7	50	TRUE			Woman with ointment	114;267;306	TRUE										
Matthew	26	6	26	13	John	12	1	12	8	TRUE			Woman with ointment	114;267;306	TRUE										
Mark	14	3	14	9	Luke	7	36	7	50	TRUE			Woman with ointment	114;267;306	TRUE										
Mark	14	3	14	9	John	12	1	12	8	TRUE			Woman with ointment	114;267;306	TRUE										
Luke	7	36	7	50	John	12	1	12	8	TRUE			Woman with ointment	114;267;306	TRUE										
Luke	16	19	16	31	John	11	1	11	46	TRUE			Lazarus		TRUE										
Matthew	12	31	12	32	Mark	3	28	3	30	TRUE			Blaspheme the Holy Spirit	118a;197	TRUE										
Matthew	12	31	12	32	Luke	12	10			TRUE			Blaspheme the Holy Spirit	118a;197	TRUE										
Mark	3	28	3	30	Luke	12	10			TRUE			Blaspheme the Holy Spirit	118a;197	TRUE										
Matthew	12	38	12	42	Mark	8	11	8	12	TRUE			Sign of Jonah	119;154;191	TRUE										
Matthew	12	38	12	42	Luke	11	29	11	32	TRUE			Sign of Jonah	119;154;191	TRUE										
Matthew	12	38	12	42	Matthew	16	1	16	4	TRUE			Sign of Jonah	119;154;191	TRUE										
Mark	8	11	8	12	Luke	11	29	11	32	TRUE			Sign of Jonah	119;154;191	TRUE										
Mark	8	11	8	12	Matthew	16	1	16	4	TRUE			Sign of Jonah	119;154;191	TRUE										
Luke	11	29	11	32	Matthew	16	1	16	4	TRUE			Sign of Jonah	119;154;191	TRUE										
Matthew	12	43	12	45	Luke	11	24	11	26	TRUE			Return of evil spirit	120;189	TRUE										
Matthew	12	46	12	50	Mark	3	31	3	35	TRUE			Jesus’s True Kindred	121;135	TRUE										
Matthew	12	46	12	50	Luke	8	19	8	21	TRUE			Jesus’s True Kindred	121;135	TRUE										
Mark	3	31	3	35	Luke	8	19	8	21	TRUE			Jesus’s True Kindred	121;135	TRUE										
Matthew	13	1	13	23	Mark	4	1	4	20	TRUE			Parable of the sower	122;123;124	TRUE										
Matthew	13	1	13	23	Luke	8	4	8	15	TRUE			Parable of the sower	122;123;124	TRUE										
Mark	4	1	4	20	Luke	8	4	8	15	TRUE			Parable of the sower	122;123;124	TRUE										
Mark	4	21	4	25	Luke	8	16	8	18	TRUE			He who has ears to hear let him hear	53;125	TRUE										
Mark	4	21	4	25	Matthew	5	15			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Mark	4	21	4	25	Matthew	10	26			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Mark	4	21	4	25	Matthew	7	2			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Mark	4	21	4	25	Matthew	13	12			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Luke	8	16	8	18	Matthew	5	15			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Luke	8	16	8	18	Matthew	10	26			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Luke	8	16	8	18	Matthew	7	2			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Luke	8	16	8	18	Matthew	13	12			TRUE			He who has ears to hear let him hear	53;125	TRUE										
Matthew	13	31	13	32	Mark	4	30	4	32	TRUE			Parable of the mustard seed	128;209	TRUE										
Matthew	13	31	13	32	Luke	13	18	13	19	TRUE			Parable of the mustard seed	128;209	TRUE										
Mark	4	30	4	32	Luke	13	18			TRUE			Parable of the mustard seed	128;209	TRUE										
Matthew	13	33			Luke	13	20	13	21	TRUE			Parable of the leaven	129;210	TRUE										
Matthew	13	34	13	35	Mark	4	33	4	34	TRUE			Jesus’s Use of Parables	130	TRUE										
Matthew	10	7	10	11	Mark	6	6	6	13	TRUE			Commissioning the Twelve	142	TRUE										
Matthew	10	14			Mark	6	6	6	13	TRUE			Commissioning the Twelve	142	TRUE										
Matthew	10	7	10	11	Luke	9	1	9	6	TRUE			Commissioning the Twelve	142	TRUE										
Matthew	10	14	0	0	Luke	9	1	9	6	TRUE			Commissioning the Twelve	142	TRUE										
Mark	6	6	6	13	Luke	9	1	9	6	TRUE			Commissioning the Twelve	142	TRUE										
Matthew	14	1	14	2	Mark	6	14	6	16	TRUE			Opinions on Jesus	143	TRUE										
Matthew	14	1	14	2	Luke	9	7	9	9	TRUE			Opinions on Jesus	143	TRUE										
Mark	6	14	6	16	Luke	9	7	9	9	TRUE			Opinions on Jesus	143	TRUE										
Mark	6	30	6	31	Luke	9	10			TRUE		done.	Return of the apostles	145	TRUE										
Matthew	14	13	14	21	Mark	6	32	6	44	TRUE			Five thousand are fed	146	TRUE										
Matthew	14	13	14	21	Luke	9	10	9	17	TRUE			Five thousand are fed	146	TRUE										
Matthew	14	13	14	21	Matthew	6	1	6	15	TRUE			Five thousand are fed	146	TRUE										
Mark	6	32	6	44	Luke	9	10	9	17	TRUE			Five thousand are fed	146	TRUE										
Mark	6	32	6	44	Matthew	6	1	6	15	TRUE			Five thousand are fed	146	TRUE										
Luke	9	10	9	17	Matthew	6	1	6	15	TRUE			Five thousand are fed	146	TRUE										
Matthew	14	13	14	21	Matthew	15	32	15	29	TRUE			Feeding doublet		TRUE										
Mark	6	32	6	44	Mark	8	1	8	10	TRUE			Feeding doublet		TRUE										
Matthew	14	22	14	33	Mark	6	45	6	52	TRUE			Walking on the Water	147	TRUE										
Matthew	14	22	14	33	John	6	16	6	21	TRUE			Walking on the Water	147	TRUE										
Mark	6	45	6	52	John	6	16	6	21	TRUE			Walking on the Water	147	TRUE										
Matthew	14	34	14	36	Mark	6	53	6	56	TRUE			Healings at Gennesaret	148	TRUE										
Matthew	14	34	14	36	John	6	22	6	25	TRUE			Healings at Gennesaret	148	TRUE										
Mark	6	53	6	56	John	6	22	6	25	TRUE			Healings at Gennesaret	148	TRUE										
Matthew	15	14			Luke	6	39			TRUE			Blind lead the blind	150a	TRUE										
Matthew	15	1	15	20	Mark	7	1	7	23	TRUE			Defilement – traditional and real	150b;194	TRUE										
Matthew	15	1	15	20	Luke	11	37	11	41	TRUE			Defilement – traditional and real	150b;194	TRUE										
Mark	7	1	7	23	Luke	11	37	11	41	TRUE			Defilement – traditional and real	150b;194	TRUE										
Matthew	15	21	15	28	Mark	7	24	7	30	TRUE			Canaanite woman	151	TRUE										
Matthew	15	29	15	31	Mark	7	31	7	37	TRUE			Jesus heals a deaf mute and others	152	TRUE										
Matthew	15	32	15	39	Mark	8	1	8	10	TRUE			Four thousand are fed	153	TRUE										
Matthew	16	5	16	12	Mark	8	14	8	21	TRUE			Leaven of the pharisees	155;195	TRUE										
Matthew	16	5	16	12	Luke	12	1			TRUE			Leaven of the pharisees	155;195	TRUE										
Mark	8	14	8	21	Luke	12	1	0	0	TRUE			Leaven of the pharisees	155;195	TRUE										
Matthew	16	13	16	20	Mark	8	27	8	30	TRUE			Peter’s confession	158	TRUE										
Matthew	16	13	16	20	Luke	9	18	9	21	TRUE			Peter’s confession	158	TRUE										
Matthew	16	13	16	20	John	6	67	6	71	TRUE			Peter’s confession	158	TRUE										
Mark	8	27	8	30	Luke	9	18	9	21	TRUE			Peter’s confession	158	TRUE										
Mark	8	27	8	30	John	6	67	6	71	TRUE			Peter’s confession	158	TRUE										
Luke	9	18	9	21	John	6	67	6	71	TRUE			Peter’s confession	158	TRUE										
Matthew	16	21	16	23	Mark	8	31	8	33	TRUE			Jesus foretells his passion	159	TRUE										
Matthew	16	21	16	23	Luke	9	22			TRUE			Jesus foretells his passion	159	TRUE										
Mark	8	31	8	33	Luke	9	22	0	0	TRUE			Jesus foretells his passion	159	TRUE										
Matthew	16	24	16	28	Mark	8	34	9	1	TRUE			If any man would follow me	160	TRUE										
Matthew	16	24	16	28	Luke	9	23	9	27	TRUE			If any man would follow me	160	TRUE										
Matthew	16	24	16	28	John	12	25			TRUE			If any man would follow me	160	TRUE										
Mark	8	34	9	1	Luke	9	23	9	27	TRUE			If any man would follow me	160	TRUE										
Mark	8	34	9	1	John	12	25	0	0	TRUE			If any man would follow me	160	TRUE										
Luke	9	23	9	27	John	12	25	0	0	TRUE			If any man would follow me	160	TRUE										
Matthew	17	1	17	9	Mark	9	2	9	10	TRUE			The Transfiguration	161	TRUE										
Matthew	17	1	17	9	Luke	9	28	9	36	TRUE			The Transfiguration	161	TRUE										
Mark	9	2	9	10	Luke	9	28	9	36	TRUE			The Transfiguration	161	TRUE										
Matthew	17	10	17	13	Mark	9	11	9	13	TRUE			The coming of Elijah	162	TRUE										
Matthew	17	20			Luke	17	6			TRUE			Mustard seed	163a	TRUE										
Matthew	17	14	17	21	Mark	9	14	9	29	TRUE			Jesus heals a boy possessed by a spirit	163b	TRUE										
Matthew	17	14	17	21	Luke	9	37	9	43	TRUE		God.	Jesus heals a boy possessed by a spirit	163b	TRUE										
Mark	9	14	9	29	Luke	9	37	9	43	TRUE		God.	Jesus heals a boy possessed by a spirit	163b	TRUE										
Matthew	17	22	17	23	Mark	9	30	9	32	TRUE			Jesus foretells his passion again	164	TRUE										
Matthew	17	22	17	23	Luke	9	43	9	45	TRUE			Jesus foretells his passion again	164	TRUE										
Mark	9	30	9	32	Luke	9	43	9	45	TRUE			Jesus foretells his passion again	164	TRUE										
Matthew	18	1	18	5	Mark	9	33	9	37	TRUE			True greatness	166	TRUE										
Matthew	18	1	18	5	Luke	9	46	9	48	TRUE			True greatness	166	TRUE										
Matthew	18	1	18	5	John	13	20			TRUE			True greatness	166	TRUE										
Mark	9	33	9	37	Luke	9	46	9	48	TRUE			True greatness	166	TRUE										
Mark	9	33	9	37	John	13	20	0	0	TRUE			True greatness	166	TRUE										
Luke	9	46	9	48	John	13	20	0	0	TRUE			True greatness	166	TRUE										
Matthew	10	42			Mark	9	38	9	41	TRUE			The strange exorcist	167;104b	TRUE										
