ch,my_ref,mt_ref,lxx_ref,other_ref,note,,
31,31:8,31:8,30:9,31:8,,,
31,31:9,31:9,30:10,31:9,,,
31,31:10,31:10,30:11,31:10,,,
31,31:11,31:11,30:12,31:11,,,
31,31:12,31:12,30:13,31:12,,,
31,31:13,31:13,30:14,31:13,,,
31,31:14,31:14,30:15,31:14,,,
31,31:15,31:15,30:16,31:15,,,
31,31:16,31:16,30:17,31:16,,,
31,31:17,31:17,30:18,31:17,,,
31,31:18,31:18,30:19,31:18,,,
31,31:19,31:19,30:20,31:19,,,
31,31:20,31:20,30:21,31:20,,,
31,31:21,31:21,30:22,31:21,,,
31,31:22,31:22,30:23,31:22,,,
31,31:23,31:23,30:24,31:23,,,
31,31:24,31:24,30:25,31:24,,,
32,32:0-32:1,32:0-32:1,31:1,32:0,,,
32,32:2,32:2,31:2,32:2,,,
32,32:3,32:3,31:3,32:3,,,
32,32:4,32:4,31:4,32:4,,,
32,32:5,32:5,31:5,32:5,,,
32,32:6,32:6,31:6,32:6,,,
32,32:7,32:7,31:7,32:7,,,
32,32:8,32:8,31:8,32:8,,,
32,32:9,32:9,31:9,32:9,,,
32,32:10,32:10,31:10,32:10,,,
32,32:11,32:11,31:11,32:11,,,
33,33:1,33:1,32:1,33:1,,,
33,33:2,33:2,32:2,33:2,,,
33,33:3,33:3,32:3,33:3,,,
33,33:4,33:4,32:4,33:4,,,
33,33:5,33:5,32:5,33:5,,,
33,33:6,33:6,32:6,33:6,,,
33,33:7,33:7,32:7,33:7,,,
33,33:8,33:8,32:8,33:8,,,
33,33:9,33:9,32:9,33:9,,,
33,33:10,33:10,32:10,33:10,,,
33,33:11,33:11,32:11,33:11,,,
33,33:12,33:12,32:12,33:12,,,
33,33:13,33:13,32:13,33:13,,,
33,33:14,33:14,32:14,33:14,,,
33,33:15,33:15,32:15,33:15,,,
33,33:16,33:16,32:16,33:16,,,
33,33:17,33:17,32:17,33:17,,,
33,33:18,33:18,32:18,33:18,,,
33,33:19,33:19,32:19,33:19,,,
33,33:20,33:20,32:20,33:20,,,
33,33:21,33:21,32:21,33:21,,,
33,33:22,33:22,32:22,33:22,,,
34,34:0,34:0,33:1,34:0,,,
34,34:1,34:1,33:2,34:1,,,
34,34:2,34:2,33:3,34:2,,,
34,34:3,34:3,33:4,34:3,,,
34,34:4,34:4,33:5,34:4,,,
34,34:5,34:5,33:6,34:5,,,
34,34:6,34:6,33:7,34:6,,,
34,34:7,34:7,33:8,34:7,,,
34,34:8,34:8,33:9,34:8,,,
34,34:9,34:9,33:10,34:9,,,
34,34:10,34:10,33:11,34:10,,,
34,34:11,34:11,33:12,34:11,,,
34,34:12,34:12,33:13,34:12,,,
34,34:13,34:13,33:14,34:13,,,
34,34:14,34:14,33:15,34:14,,,
34,34:15,34:15,33:16,34:15,,,
34,34:16,34:16,33:17,34:16,,,
34,34:17,34:17,33:18,34:17,,,
34,34:18,34:18,33:19,34:18,,,
34,34:19,34:19,33:20,34:19,,,
34,34:20,34:20,33:21,34:20,,,
34,34:21,34:21,33:22,34:21,,,
34,34:22,34:22,33:23,34:22,,,
35,35:0-35:1,35:0-35:1,34:1,35:0,,,
35,35:2,35:2,34:2,35:2,,,
35,35:3,35:3,34:3,35:3,,,
35,35:4,35:4,34:4,35:4,,,
35,35:5,35:5,34:5,35:5,,,
35,35:6,35:6,34:6,35:6,,,
35,35:7,35:7,34:7,35:7,,,
35,35:8,35:8,34:8,35:8,,,
35,35:9,35:9,34:9,35:9,,,
35,35:10,35:10,34:10,35:10,,,
35,35:11,35:11,34:11,35:11,,,
35,35:12,35:12,34:12,35:12,,,
35,35:13,35:13,34:13,35:13,,,
35,35:14,35:14,34:14,35:14,,,
35,35:15,35:15,34:15,35:15,,,
35,35:16,35:16,34:16,35:16,,,
35,35:17,35:17,34:17,35:17,,,
35,35:18,35:18,34:18,35:18,,,
35,35:19,35:19,34:19,35:19,,,
35,35:20,35:20,34:20,35:20,,,
35,35:21,35:21,34:21,35:21,,,
35,35:22,35:22,34:22,35:22,,,
35,35:23,35:23,34:23,35:23,,,
35,35:24,35:24,34:24,35:24,,,
35,35:25,35:25,34:25,35:25,,,
35,35:26,35:26,34:26,35:26,,,
35,35:27,35:27,34:27,35:27,,,
35,35:28,35:28,34:28,35:28,,,
36,36:0,36:0,35:1,36:0,,,
36,36:1,36:1,35:2,36:1,,,
36,36:2,36:2,35:3,36:2,,,
36,36:3,36:3,35:4,36:3,,,
36,36:4,36:4,35:5,36:4,,,
36,36:5,36:5,35:6,36:5,,,
36,36:6,36:6,35:7,36:6,,,
36,36:7,36:7,35:8,36:7,,,
36,36:8,36:8,35:9,36:8,,,
36,36:9,36:9,35:10,36:9,,,
36,36:10,36:10,35:11,36:10,,,
36,36:11,36:11,35:12,36:11,,,
36,36:12,36:12,35:13,36:12,,,
37,37:0-37:1,37:0-37:1,36:1,37:0,,,
37,37:2,37:2,36:2,37:2,,,
37,37:3,37:3,36:3,37:3,,,
37,37:4,37:4,36:4,37:4,,,
37,37:5,37:5,36:5,37:5,,,
37,37:6,37:6,36:6,37:6,,,
37,37:7,37:7,36:7,37:7,,,
37,37:8,37:8,36:8,37:8,,,
37,37:9,37:9,36:9,37:9,,,
37,37:10,37:10,36:10,37:10,,,
37,37:11,37:11,36:11,37:11,,,
37,37:12,37:12,36:12,37:12,,,
37,37:13,37:13,36:13,37:13,,,
37,37:14,37:14,36:14,37:14,,,
37,37:15,37:15,36:15,37:15,,,
37,37:16,37:16,36:16,37:16,,,
37,37:17,37:17,36:17,37:17,,,
37,37:18,37:18,36:18,37:18,,,
37,37:19,37:19,36:19,37:19,,,
37,37:20,37:20,36:20,37:20,,,
37,37:21,37:21,36:21,37:21,,,
37,37:22,37:22,36:22,37:22,,,
37,37:23,37:23,36:23,37:23,,,
37,37:24,37:24,36:24,37:24,,,
37,37:25,37:25,36:25,37:25,,,
37,37:26,37:26,36:26,37:26,,,
37,37:27,37:27,36:27,37:27,,,
37,37:28,37:28,36:28,37:28,,,
37,37:29,37:29,36:29,37:29,,,
37,37:30,37:30,36:30,37:30,,,
37,37:31,37:31,36:31,37:31,,,
37,37:32,37:32,36:32,37:32,,,
37,37:33,37:33,36:33,37:33,,,
37,37:34,37:34,36:34,37:34,,,
37,37:35,37:35,36:35,37:35,,,
37,37:36,37:36,36:36,37:36,,,
37,37:37,37:37,36:37,37:37,,,
37,37:38,37:38,36:38,37:38,,,
37,37:39,37:39,36:39,37:39,,,
37,37:40,37:40,36:40,37:40,,,
38,38:0,38:0,37:1,38:0,,,
38,38:1,38:1,37:2,38:1,,,
38,38:2,38:2,37:3,38:2,,,
38,38:3,38:3,37:4,38:3,,,
38,38:4,38:4,37:5,38:4,,,
38,38:5,38:5,37:6,38:5,,,
38,38:6,38:6,37:7,38:6,,,
38,38:7,38:7,37:8,38:7,,,
38,38:8,38:8,37:9,38:8,,,
38,38:9,38:9,37:10,38:9,,,
38,38:10,38:10,37:11,38:10,,,
38,38:11,38:11,37:12,38:11,,,
38,38:12,38:12,37:13,38:12,,,
38,38:13,38:13,37:14,38:13,,,
38,38:14,38:14,37:15,38:14,,,
38,38:15,38:15,37:16,38:15,,,
38,38:16,38:16,37:17,38:16,,,
38,38:17,38:17,37:18,38:17,,,
38,38:18,38:18,37:19,38:18,,,
38,38:19,38:19,37:20,38:19,,,
38,38:20,38:20,37:21,38:20,,,
38,38:21,38:21,37:22,38:21,,,
38,38:22,38:22,37:23,38:22,,,
39,39:0,39:0,38:1,39:0,,,
39,39:1,39:1,38:2,39:1,,,
39,39:2,39:2,38:3,39:2,,,
39,39:3,39:3,38:4,39:3,,,
39,39:4,39:4,38:5,39:4,,,
39,39:5,39:5,38:6,39:5,,,
39,39:6,39:6,38:7,39:6,,,
39,39:7,39:7,38:8,39:7,,,
39,39:8,39:8,38:9,39:8,,,
39,39:9,39:9,38:10,39:9,,,
39,39:10,39:10,38:11,39:10,,,
39,39:11,39:11,38:12,39:11,,,
39,39:12,39:12,38:13,39:12,,,
39,39:13,39:13,38:14,39:13,,,
40,40:0,40:0,39:1,40:0,,,
40,40:1,40:1,39:2,40:1,,,
40,40:2,40:2,39:3,40:2,,,
40,40:3,40:3,39:4,40:3,,,
40,40:4,40:4,39:5,40:4,,,
40,40:5,40:5,39:6,40:5,,,
40,40:6,40:6,39:7,40:6,,,
40,40:7,40:7,39:8,40:7,,,
40,40:8,40:8,39:9,40:8,,,
40,40:9,40:9,39:10,40:9,,,
40,40:10,40:10,39:11,40:10,,,
40,40:11,40:11,39:12,40:11,,,
40,40:12,40:12,39:13,40:12,,,
40,40:13,40:13,39:14,40:13,,,
40,40:14,40:14,39:15,40:14,,,
40,40:15,40:15,39:16,40:15,,,
40,40:16,40:16,39:17,40:16,,,
40,40:17,40:17,39:18,40:17,,,
41,41:0,41:0,40:1,41:0,,,
41,41:1,41:1,40:2,41:1,,,
41,41:2,41:2,40:3,41:2,,,
41,41:3,41:3,40:4,41:3,,,
41,41:4,41:4,40:5,41:4,,,
41,41:5,41:5,40:6,41:5,,,
41,41:6,41:6,40:7,41:6,,,
41,41:7,41:7,40:8,41:7,,,
41,41:8,41:8,40:9,41:8,,,
41,41:9,41:9,40:10,41:9,,,
41,41:10,41:10,40:11,41:10,,,
41,41:11,41:11,40:12,41:11,,,
41,41:12,41:12,40:13,41:12,,,
41,41:13,41:13,40:14,41:13,,,
42,42:0,42:0,41:1,42:0,,,
42,42:1,42:1,41:2,42:1,,,
42,42:2,42:2,41:3,42:2,,,
42,42:3,42:3,41:4,42:3,,,
42,42:4,42:4,41:5,42:4,,,
42,42:5,42:5,41:6,42:5,,,
42,42:6,42:6,41:7,42:6,,,
42,42:7,42:7,41:8,42:7,,,
42,42:8,42:8,41:9,42:8,,,
42,42:9,42:9,41:10,42:9,,,
42,42:10,42:10,41:11,42:10,,,
42,42:11,42:11,41:12,42:11,,,
43,43:1,43:1,42:1,43:1,,,
43,43:2,43:2,42:2,43:2,,,
43,43:3,43:3,42:3,43:3,,,
43,43:4,43:4,42:4,43:4,,,
43,43:5,43:5,42:5,43:5,,,
44,44:0,44:0,43:1,44:0,,,
