ch,my_ref,mt_ref,lxx_ref,other_ref,note,,
80,80:6,80:6,79:7,80:6,,,
80,80:7,80:7,79:8,80:7,,,
80,80:8,80:8,79:9,80:8,,,
80,80:9,80:9,79:10,80:9,,,
80,80:10,80:10,79:11,80:10,,,
80,80:11,80:11,79:12,80:11,,,
80,80:12,80:12,79:13,80:12,,,
80,80:13,80:13,79:14,80:13,,,
80,80:14,80:14,79:15,80:14,,,
80,80:15,80:15,79:16,80:15,,,
80,80:16,80:16,79:17,80:16,,,
80,80:17,80:17,79:18,80:17,,,
80,80:18,80:18,79:19,80:18,,,
80,80:19,80:19,79:20,80:19,,,
81,81:0,81:0,80:1,81:0,,,
81,81:1,81:1,80:2,81:1,,,
81,81:2,81:2,80:3,81:2,,,
81,81:3,81:3,80:4,81:3,,,
81,81:4,81:4,80:5,81:4,,,
81,81:5,81:5,80:6,81:5,,,
81,81:6,81:6,80:7,81:6,,,
81,81:7,81:7,80:8,81:7,,,
81,81:8,81:8,80:9,81:8,,,
81,81:9,81:9,80:10,81:9,,,
81,81:10,81:10,80:11,81:10,,,
81,81:11,81:11,80:12,81:11,,,
81,81:12,81:12,80:13,81:12,,,
81,81:13,81:13,80:14,81:13,,,
81,81:14,81:14,80:15,81:14,,,
81,81:15,81:15,80:16,81:15,,,
81,81:16,81:16,80:17,81:16,,,
82,82:0-82:1,82:0-82:1,81:1,82:0,,,
82,82:2,82:2,81:2,82:2,,,
82,82:3,82:3,81:3,82:3,,,
82,82:4,82:4,81:4,82:4,,,
82,82:5,82:5,81:5,82:5,,,
82,82:6,82:6,81:6,82:6,,,
82,82:7,82:7,81:7,82:7,,,
82,82:8,82:8,81:8,82:8,,,
83,83:0,83:0,82:1,83:0,,,
83,83:1,83:1,82:2,83:1,,,
83,83:2,83:2,82:3,83:2,,,
83,83:3,83:3,82:4,83:3,,,
83,83:4,83:4,82:5,83:4,,,
83,83:5,83:5,82:6,83:5,,,
83,83:6,83:6,82:7,83:6,,,
83,83:7,83:7,82:8,83:7,,,
83,83:8,83:8,82:9,83:8,,,
83,83:9,83:9,82:10,83:9,,,
83,83:10,83:10,82:11,83:10,,,
83,83:11,83:11,82:12,83:11,,,
83,83:12,83:12,82:13,83:12,,,
83,83:13,83:13,82:14,83:13,,,
83,83:14,83:14,82:15,83:14,,,
83,83:15,83:15,82:16,83:15,,,
83,83:16,83:16,82:17,83:16,,,
83,83:17,83:17,82:18,83:17,,,
83,83:18,83:18,82:19,83:18,,,
84,84:0,84:0,83:1,84:0,,,
84,84:1,84:1,83:2,84:1,,,
84,84:2,84:2,83:3,84:2,,,
84,84:3,84:3,83:4,84:3,,,
84,84:4,84:4,83:5,84:4,,,
84,84:5,84:5,83:6,84:5,,,
84,84:6,84:6,83:7,84:6,,,
84,84:7,84:7,83:8,84:7,,,
84,84:8,84:8,83:9,84:8,,,
84,84:9,84:9,83:10,84:9,,,
84,84:10,84:10,83:11,84:10,,,
84,84:11,84:11,83:12,84:11,,,
84,84:12,84:12,83:13,84:12,,,
85,85:0,85:0,84:1,85:0,,,
85,85:1,85:1,84:2,85:1,,,
85,85:2,85:2,84:3,85:2,,,
85,85:3,85:3,84:4,85:3,,,
85,85:4,85:4,84:5,85:4,,,
85,85:5,85:5,84:6,85:5,,,
85,85:6,85:6,84:7,85:6,,,
85,85:7,85:7,84:8,85:7,,,
85,85:8,85:8,84:9,85:8,,,
85,85:9,85:9,84:10,85:9,,,
85,85:10,85:10,84:11,85:10,,,
85,85:11,85:11,84:12,85:11,,,
85,85:12,85:12,84:13,85:12,,,
85,85:13,85:13,84:14,85:13,,,
86,86:0-86:1,86:0-86:1,85:1,86:0,,,
86,86:2,86:2,85:2,86:2,,,
86,86:3,86:3,85:3,86:3,,,
86,86:4,86:4,85:4,86:4,,,
86,86:5,86:5,85:5,86:5,,,
86,86:6,86:6,85:6,86:6,,,
86,86:7,86:7,85:7,86:7,,,
86,86:8,86:8,85:8,86:8,,,
86,86:9,86:9,85:9,86:9,,,
86,86:10,86:10,85:10,86:10,,,
86,86:11,86:11,85:11,86:11,,,
86,86:12,86:12,85:12,86:12,,,
86,86:13,86:13,85:13,86:13,,,
86,86:14,86:14,85:14,86:14,,,
86,86:15,86:15,85:15,86:15,,,
86,86:16,86:16,85:16,86:16,,,
86,86:17,86:17,85:17,86:17,,,
87,87:0-87:1,87:0-87:1,86:1,87:0,,,
87,87:2,87:2,86:2,87:2,,,
87,87:3,87:3,86:3,87:3,,,
87,87:4,87:4,86:4,87:4,,,
87,87:5,87:5,86:5,87:5,,,
87,87:6,87:6,86:6,87:6,,,
87,87:7,87:7,86:7,87:7,,,
88,88:0,88:0,87:1,88:0,,,
88,88:1,88:1,87:2,88:1,,,
88,88:2,88:2,87:3,88:2,,,
88,88:3,88:3,87:4,88:3,,,
88,88:4,88:4,87:5,88:4,,,
88,88:5,88:5,87:6,88:5,,,
88,88:6,88:6,87:7,88:6,,,
88,88:7,88:7,87:8,88:7,,,
88,88:8,88:8,87:9,88:8,,,
88,88:9,88:9,87:10,88:9,,,
88,88:10,88:10,87:11,88:10,,,
88,88:11,88:11,87:12,88:11,,,
88,88:12,88:12,87:13,88:12,,,
88,88:13,88:13,87:14,88:13,,,
88,88:14,88:14,87:15,88:14,,,
88,88:15,88:15,87:16,88:15,,,
88,88:16,88:16,87:17,88:16,,,
88,88:17,88:17,87:18,88:17,,,
88,88:18,88:18,87:19,88:18,,,
89,89:0,89:0,88:1,89:0,,,
89,89:1,89:1,88:2,89:1,,,
89,89:2,89:2,88:3,89:2,,,
89,89:3,89:3,88:4,89:3,,,
89,89:4,89:4,88:5,89:4,,,
89,89:5,89:5,88:6,89:5,,,
89,89:6,89:6,88:7,89:6,,,
89,89:7,89:7,88:8,89:7,,,
89,89:8,89:8,88:9,89:8,,,
89,89:9,89:9,88:10,89:9,,,
89,89:10,89:10,88:11,89:10,,,
89,89:11,89:11,88:12,89:11,,,
89,89:12,89:12,88:13,89:12,,,
89,89:13,89:13,88:14,89:13,,,
89,89:14,89:14,88:15,89:14,,,
89,89:15,89:15,88:16,89:15,,,
89,89:16,89:16,88:17,89:16,,,
89,89:17,89:17,88:18,89:17,,,
89,89:18,89:18,88:19,89:18,,,
89,89:19,89:19,88:20,89:19,,,
89,89:20,89:20,88:21,89:20,,,
89,89:21,89:21,88:22,89:21,,,
89,89:22,89:22,88:23,89:22,,,
89,89:23,89:23,88:24,89:23,,,
89,89:24,89:24,88:25,89:24,,,
89,89:25,89:25,88:26,89:25,,,
89,89:26,89:26,88:27,89:26,,,
89,89:27,89:27,88:28,89:27,,,
89,89:28,89:28,88:29,89:28,,,
89,89:29,89:29,88:30,89:29,,,
89,89:30,89:30,88:31,89:30,,,
89,89:31,89:31,88:32,89:31,,,
89,89:32,89:32,88:33,89:32,,,
89,89:33,89:33,88:34,89:33,,,
89,89:34,89:34,88:35,89:34,,,
89,89:35,89:35,88:36,89:35,,,
89,89:36,89:36,88:37,89:36,,,
89,89:37,89:37,88:38,89:37,,,
89,89:38,89:38,88:39,89:38,,,
89,89:39,89:39,88:40,89:39,,,
89,89:40,89:40,88:41,89:40,,,
89,89:41,89:41,88:42,89:41,,,
89,89:42,89:42,88:43,89:42,,,
89,89:43,89:43,88:44,89:43,,,
89,89:44,89:44,88:45,89:44,,,
89,89:45,89:45,88:46,89:45,,,
89,89:46,89:46,88:47,89:46,,,
89,89:47,89:47,88:48,89:47,,,
89,89:48,89:48,88:49,89:48,,,
89,89:49,89:49,88:50,89:49,,,
89,89:50,89:50,88:51,89:50,,,
89,89:51,89:51,88:52,89:51,,,
89,89:52,89:52,88:53,89:52,,,
90,90:0-90:1,90:0-90:1,89:1,90:0,,,
90,90:2,90:2,89:2,90:2,,,
90,90:3,90:3,89:3,90:3,,,
90,90:4,90:4,89:4,90:4,,,
90,90:5,90:5,89:5,90:5,,,
90,90:6,90:6,89:6,90:6,,,
90,90:7,90:7,89:7,90:7,,,
90,90:8,90:8,89:8,90:8,,,
90,90:9,90:9,89:9,90:9,,,
90,90:10,90:10,89:10,90:10,,,
90,90:11,90:11,89:11,90:11,,,
90,90:12,90:12,89:12,90:12,,,
90,90:13,90:13,89:13,90:13,,,
90,90:14,90:14,89:14,90:14,,,
90,90:15,90:15,89:15,90:15,,,
90,90:16,90:16,89:16,90:16,,,
90,90:17,90:17,89:17,90:17,,,
91,91:1,91:1,90:1,91:1,,,
91,91:2,91:2,90:2,91:2,,,
91,91:3,91:3,90:3,91:3,,,
91,91:4,91:4,90:4,91:4,,,
91,91:5,91:5,90:5,91:5,,,
91,91:6,91:6,90:6,91:6,,,
91,91:7,91:7,90:7,91:7,,,
91,91:8,91:8,90:8,91:8,,,
91,91:9,91:9,90:9,91:9,,,
91,91:10,91:10,90:10,91:10,,,
91,91:11,91:11,90:11,91:11,,,
91,91:12,91:12,90:12,91:12,,,
91,91:13,91:13,90:13,91:13,,,
91,91:14,91:14,90:14,91:14,,,
91,91:15,91:15,90:15,91:15,,,
91,91:16,91:16,90:16,91:16,,,
92,92:0,92:0,91:1,92:0,,,
92,92:1,92:1,91:2,92:1,,,
92,92:2,92:2,91:3,92:2,,,
92,92:3,92:3,91:4,92:3,,,
92,92:4,92:4,91:5,92:4,,,
92,92:5,92:5,91:6,92:5,,,
92,92:6,92:6,91:7,92:6,,,
92,92:7,92:7,91:8,92:7,,,
92,92:8,92:8,91:9,92:8,,,
92,92:9,92:9,91:10,92:9,,,
92,92:10,92:10,91:11,92:10,,,
92,92:11,92:11,91:12,92:11,,,
92,92:12,92:12,91:13,92:12,,,
92,92:13,92:13,91:14,92:13,,,
92,92:14,92:14,91:15,92:14,,,
92,92:15,92:15,91:16,92:15,,,
93,93:1,93:1,92:1,93:1,,,
93,93:2,93:2,92:2,93:2,,,
93,93:3,93:3,92:3,93:3,,,
93,93:4,93:4,92:4,93:4,,,
93,93:5,93:5,92:5,93:5,,,
94,94:1,94:1,93:1,94:1,,,
94,94:2,94:2,93:2,94:2,,,
94,94:3,94:3,93:3,94:3,,,
94,94:4,94:4,93:4,94:4,,,
94,94:5,94:5,93:5,94:5,,,
94,94:6,94:6,93:6,94:6,,,
94,94:7,94:7,93:7,94:7,,,
94,94:8,94:8,93:8,94:8,,,
94,94:9,94:9,93:9,94:9,,,
94,94:10,94:10,93:10,94:10,,,
94,94:11,94:11,93:11,94:11,,,
94,94:12,94:12,93:12,94:12,,,
94,94:13,94:13,93:13,94:13,,,
94,94:14,94:14,93:14,94:14,,,
94,94:15,94:15,93:15,94:15,,,
94,94:16,94:16,93:16,94:16,,,
94,94:17,94:17,93:17,94:17,,,
94,94:18,94:18,93:18,94:18,,,
94,94:19,94:19,93:19,94:19,,,
94,94:20,94:20,93:20,94:20,,,
94,94:21,94:21,93:21,94:21,,,
94,94:22,94:22,93:22,94:22,,,
94,94:23,94:23,93:23,94:23,,,
95,95:1,95:1,94:1,95:1,,,
95,95:2,95:2,94:2,95:2,,,
95,95:3,95:3,94:3,95:3,,,
95,95:4,95:4,94:4,95:4,,,
95,95:5,95:5,94:5,95:5,,,
95,95:6,95:6,94:6,95:6,,,
95,95:7,95:7,94:7,95:7,,,
95,95:8,95:8,94:8,95:8,,,
95,95:9,95:9,94:9,95:9,,,
95,95:10,95:10,94:10,95:10,,,
95,95:11,95:11,94:11,95:11,,,
96,96:1,96:1,95:1,96:1,,,
96,96:2,96:2,95:2,96:2,,,
96,96:3,96:3,95:3,96:3,,,
96,96:4,96:4,95:4,96:4,,,
96,96:5,96:5,95:5,96:5,,,
96,96:6,96:6,95:6,96:6,,,
96,96:7,96:7,95:7,96:7,,,
96,96:8,96:8,95:8,96:8,,,
96,96:9,96:9,95:9,96:9,,,
96,96:10,96:10,95:10,96:10,,,
96,96:11,96:11,95:11,96:11,,,
96,96:12,96:12,95:12,96:12,,,
96,96:13,96:13,95:13,96:13,,,
97,97:1,97:1,96:1,97:1,,,
97,97:2,97:2,96:2,97:2,,,
97,97:3,97:3,96:3,97:3,,,
97,97:4,97:4,96:4,97:4,,,
97,97:5,97:5,96:5,97:5,,,
97,97:6,97:6,96:6,97:6,,,
97,97:7,97:7,96:7,97:7,,,
97,97:8,97:8,96:8,97:8,,,
97,97:9,97:9,96:9,97:9,,,
97,97:10,97:10,96:10,97:10,,,
97,97:11,97:11,96:11,97:11,,,
97,97:12,97:12,96:12,97:12,,,
98,98:0-98:1,98:0-98:1,97:1,98:0,,,
98,98:2,98:2,97:2,98:2,,,
98,98:3,98:3,97:3,98:3,,,
98,98:4,98:4,97:4,98:4,,,
98,98:5,98:5,97:5,98:5,,,
98,98:6,98:6,97:6,98:6,,,
98,98:7,98:7,97:7,98:7,,,
98,98:8,98:8,97:8,98:8,,,
98,98:9,98:9,97:9,98:9,,,
99,99:1,99:1,98:1,99:1,,,
99,99:2,99:2,98:2,99:2,,,
99,99:3,99:3,98:3,99:3,,,
99,99:4,99:4,98:4,99:4,,,
99,99:5,99:5,98:5,99:5,,,
99,99:6,99:6,98:6,99:6,,,
99,99:7,99:7,98:7,99:7,,,
99,99:8,99:8,98:8,99:8,,,
99,99:9,99:9,98:9,99:9,,,
100,100:0-100:1,100:0-100:1,99:1,100:0,,,
100,100:2,100:2,99:2,100:2,,,
100,100:3,100:3,99:3,100:3,,,
100,100:4,100:4,99:4,100:4,,,
100,100:5,100:5,99:5,100:5,,,
101,101:0-101:1,101:0-101:1,100:1,101:0,,,
101,101:2,101:2,100:2,101:2,,,
101,101:3,101:3,100:3,101:3,,,
101,101:4,101:4,100:4,101:4,,,
101,101:5,101:5,100:5,101:5,,,
101,101:6,101:6,100:6,101:6,,,
101,101:7,101:7,100:7,101:7,,,
101,101:8,101:8,100:8,101:8,,,
102,102:0,102:0,101:1,102:0,,,
102,102:1,102:1,101:2,102:1,,,
102,102:2,102:2,101:3,102:2,,,
102,102:3,102:3,101:4,102:3,,,
102,102:4,102:4,101:5,102:4,,,
102,102:5,102:5,101:6,102:5,,,
102,102:6,102:6,101:7,102:6,,,
102,102:7,102:7,101:8,102:7,,,
102,102:8,102:8,101:9,102:8,,,
102,102:9,102:9,101:10,102:9,,,
102,102:10,102:10,101:11,102:10,,,
102,102:11,102:11,101:12,102:11,,,
102,102:12,102:12,101:13,102:12,,,
102,102:13,102:13,101:14,102:13,,,
102,102:14,102:14,101:15,102:14,,,
102,102:15,102:15,101:16,102:15,,,
102,102:16,102:16,101:17,102:16,,,
102,102:17,102:17,101:18,102:17,,,
102,102:18,102:18,101:19,102:18,,,
102,102:19,102:19,101:20,102:19,,,
102,102:20,102:20,101:21,102:20,,,
102,102:21,102:21,101:22,102:21,,,
102,102:22,102:22,101:23,102:22,,,
102,102:23,102:23,101:24,102:23,,,
102,102:24,102:24,101:25,102:24,,,
102,102:25,102:25,101:26,102:25,,,
102,102:26,102:26,101:27,102:26,,,
102,102:27,102:27,101:28,102:27,,,
102,102:28,102:28,101:29,102:28,,,
103,103:0-103:1,103:0-103:1,102:1,103:0,,,
103,103:2,103:2,102:2,103:2,,,
103,103:3,103:3,102:3,103:3,,,
103,103:4,103:4,102:4,103:4,,,
103,103:5,103:5,102:5,103:5,,,
103,103:6,103:6,102:6,103:6,,,
103,103:7,103:7,102:7,103:7,,,
103,103:8,103:8,102:8,103:8,,,
103,103:9,103:9,102:9,103:9,,,
103,103:10,103:10,102:10,103:10,,,
103,103:11,103:11,102:11,103:11,,,
103,103:12,103:12,102:12,103:12,,,
103,103:13,103:13,102:13,103:13,,,
103,103:14,103:14,102:14,103:14,,,
103,103:15,103:15,102:15,103:15,,,
103,103:16,103:16,102:16,103:16,,,
103,103:17,103:17,102:17,103:17,,,
103,103:18,103:18,102:18,103:18,,,
103,103:19,103:19,102:19,103:19,,,
103,103:20,103:20,102:20,103:20,,,
103,103:21,103:21,102:21,103:21,,,
103,103:22,103:22,102:22,103:22,,,
104,104:1,104:1,103:1,104:1,,,
104,104:2,104:2,103:2,104:2,,,
104,104:3,104:3,103:3,104:3,,,
104,104:4,104:4,103:4,104:4,,,
104,104:5,104:5,103:5,104:5,,,
104,104:6,104:6,103:6,104:6,,,
104,104:7,104:7,103:7,104:7,,,
104,104:8,104:8,103:8,104:8,,,
104,104:9,104:9,103:9,104:9,,,
104,104:10,104:10,103:10,104:10,,,
104,104:11,104:11,103:11,104:11,,,
104,104:12,104:12,103:12,104:12,,,
104,104:13,104:13,103:13,104:13,,,
104,104:14,104:14,103:14,104:14,,,
104,104:15,104:15,103:15,104:15,,,
104,104:16,104:16,103:16,104:16,,,
104,104:17,104:17,103:17,104:17,,,
104,104:18,104:18,103:18,104:18,,,
104,104:19,104:19,103:19,104:19,,,
104,104:20,104:20,103:20,104:20,,,
104,104:21,104:21,103:21,104:21,,,
104,104:22,104:22,103:22,104:22,,,
104,104:23,104:23,103:23,104:23,,,
104,104:24,104:24,103:24,104:24,,,
104,104:25,104:25,103:25,104:25,,,
104,104:26,104:26,103:26,104:26,,,
104,104:27,104:27,103:27,104:27,,,
104,104:28,104:28,103:28,104:28,,,
104,104:29,104:29,103:29,104:29,,,
104,104:30,104:30,103:30,104:30,,,
104,104:31,104:31,103:31,104:31,,,
104,104:32,104:32,103:32,104:32,,,
104,104:33,104:33,103:33,104:33,,,
104,104:34,104:34,103:34,104:34,,,
104,104:35,104:35,103:35,104:35,,,
105,105:1,105:1,104:1,105:1,,,
105,105:2,105:2,104:2,105:2,,,
105,105:3,105:3,104:3,105:3,,,
105,105:4,105:4,104:4,105:4,,,
105,105:5,105:5,104:5,105:5,,,
105,105:6,105:6,104:6,105:6,,,
105,105:7,105:7,104:7,105:7,,,
105,105:8,105:8,104:8,105:8,,,
105,105:9,105:9,104:9,105:9,,,
105,105:10,105:10,104:10,105:10,,,
105,105:11,105:11,104:11,105:11,,,
105,105:12,105:12,104:12,105:12,,,
105,105:13,105:13,104:13,105:13,,,
105,105:14,105:14,104:14,105:14,,,
105,105:15,105:15,104:15,105:15,,,
105,105:16,105:16,104:16,105:16,,,
105,105:17,105:17,104:17,105:17,,,
105,105:18,105:18,104:18,105:18,,,
105,105:19,105:19,104:19,105:19,,,
105,105:20,105:20,104:20,105:20,,,
105,105:21,105:21,104:21,105:21,,,
105,105:22,105:22,104:22,105:22,,,
105,105:23,105:23,104:23,105:23,,,
105,105:24,105:24,104:24,105:24,,,
105,105:25,105:25,104:25,105:25,,,
105,105:26,105:26,104:26,105:26,,,
105,105:27,105:27,104:27,105:27,,,
105,105:28,105:28,104:28,105:28,,,
105,105:29,105:29,104:29,105:29,,,
105,105:30,105:30,104:30,105:30,,,
105,105:31,105:31,104:31,105:31,,,
105,105:32,105:32,104:32,105:32,,,
105,105:33,105:33,104:33,105:33,,,
105,105:34,105:34,104:34,105:34,,,
105,105:35,105:35,104:35,105:35,,,
105,105:36,105:36,104:36,105:36,,,
105,105:37,105:37,104:37,105:37,,,
105,105:38,105:38,104:38,105:38,,,
105,105:39,105:39,104:39,105:39,,,
105,105:40,105:40,104:40,105:40,,,
105,105:41,105:41,104:41,105:41,,,
105,105:42,105:42,104:42,105:42,,,
105,105:43,105:43,104:43,105:43,,,
105,105:44,105:44,104:44,105:44,,,
105,105:45,105:45,104:45,105:45,,,
106,106:1,106:1,105:1,106:1,,,
106,106:2,106:2,105:2,106:2,,,
106,106:3,106:3,105:3,106:3,,,
106,106:4,106:4,105:4,106:4,,,
106,106:5,106:5,105:5,106:5,,,
106,106:6,106:6,105:6,106:6,,,
106,106:7,106:7,105:7,106:7,,,
106,106:8,106:8,105:8,106:8,,,
106,106:9,106:9,105:9,106:9,,,
106,106:10,106:10,105:10,106:10,,,
106,106:11,106:11,105:11,106:11,,,
106,106:12,106:12,105:12,106:12,,,
106,106:13,106:13,105:13,106:13,,,
106,106:14,106:14,105:14,106:14,,,
106,106:15,106:15,105:15,106:15,,,
106,106:16,106:16,105:16,106:16,,,
106,106:17,106:17,105:17,106:17,,,
106,106:18,106:18,105:18,106:18,,,
106,106:19,106:19,105:19,106:19,,,
106,106:20,106:20,105:20,106:20,,,
106,106:21,106:21,105:21,106:21,,,
106,106:22,106:22,105:22,106:22,,,
106,106:23,106:23,105:23,106:23,,,
106,106:24,106:24,105:24,106:24,,,
106,106:25,106:25,105:25,106:25,,,
106,106:26,106:26,105:26,106:26,,,
106,106:27,106:27,105:27,106:27,,,
106,106:28,106:28,105:28,106:28,,,
106,106:29,106:29,105:29,106:29,,,
106,106:30,106:30,105:30,106:30,,,
106,106:31,106:31,105:31,106:31,,,
106,106:32,106:32,105:32,106:32,,,
106,106:33,106:33,105:33,106:33,,,
106,106:34,106:34,105:34,106:34,,,
106,106:35,106:35,105:35,106:35,,,
106,106:36,106:36,105:36,106:36,,,
106,106:37,106:37,105:37,106:37,,,
106,106:38,106:38,105:38,106:38,,,
106,106:39,106:39,105:39,106:39,,,
106,106:40,106:40,105:40,106:40,,,
106,106:41,106:41,105:41,106:41,,,
106,106:42,106:42,105:42,106:42,,,
106,106:43,106:43,105:43,106:43,,,
106,106:44,106:44,105:44,106:44,,,
106,106:45,106:45,105:45,106:45,,,
106,106:46,106:46,105:46,106:46,,,
106,106:47,106:47,105:47,106:47,,,
106,106:48,106:48,105:48,106:48,,,
107,107:1,107:1,106:1,107:1,,,
107,107:2,107:2,106:2,107:2,,,
107,107:3,107:3,106:3,107:3,,,
107,107:4,107:4,106:4,107:4,,,
107,107:5,107:5,106:5,107:5,,,
107,107:6,107:6,106:6,107:6,,,
107,107:7,107:7,106:7,107:7,,,
107,107:8,107:8,106:8,107:8,,,
107,107:9,107:9,106:9,107:9,,,
107,107:10,107:10,106:10,107:10,,,
107,107:11,107:11,106:11,107:11,,,
107,107:12,107:12,106:12,107:12,,,
107,107:13,107:13,106:13,107:13,,,
107,107:14,107:14,106:14,107:14,,,
107,107:15,107:15,106:15,107:15,,,
107,107:16,107:16,106:16,107:16,,,
107,107:17,107:17,106:17,107:17,,,
107,107:18,107:18,106:18,107:18,,,
107,107:19,107:19,106:19,107:19,,,
107,107:20,107:20,106:20,107:20,,,
107,107:21,107:21,106:21,107:21,,,
107,107:22,107:22,106:22,107:22,,,
107,107:23,107:23,106:23,107:23,,,
107,107:24,107:24,106:24,107:24,,,
107,107:25,107:25,106:25,107:25,,,
107,107:26,107:26,106:26,107:26,,,
107,107:27,107:27,106:27,107:27,,,
107,107:28,107:28,106:28,107:28,,,
107,107:29,107:29,106:29,107:29,,,
107,107:30,107:30,106:30,107:30,,,
107,107:31,107:31,106:31,107:31,,,
107,107:32,107:32,106:32,107:32,,,
107,107:33,107:33,106:33,107:33,,,
107,107:34,107:34,106:34,107:34,,,
107,107:35,107:35,106:35,107:35,,,
107,107:36,107:36,106:36,107:36,,,
107,107:37,107:37,106:37,107:37,,,
107,107:38,107:38,106:38,107:38,,,
107,107:39,107:39,106:39,107:39,,,
107,107:40,107:40,106:40,107:40,,,
107,107:41,107:41,106:41,107:41,,,
107,107:42,107:42,106:42,107:42,,,
107,107:43,107:43,106:43,107:43,,,
108,108:0,108:0,107:1,108:0,,,
108,108:1,108:1,107:2,108:1,,,
108,108:2,108:2,107:3,108:2,,,
108,108:3,108:3,107:4,108:3,,,
108,108:4,108:4,107:5,108:4,,,
108,108:5,108:5,107:6,108:5,,,
108,108:6,108:6,107:7,108:6,,,
108,108:7,108:7,107:8,108:7,,,
108,108:8,108:8,107:9,108:8,,,
108,108:9,108:9,107:10,108:9,,,
108,108:10,108:10,107:11,108:10,,,
108,108:11,108:11,107:12,108:11,,,
108,108:12,108:12,107:13,108:12,,,
108,108:13,108:13,107:14,108:13,,,
109,109:0-109:1,109:0-109:1,108:1,109:0,,,
109,109:2,109:2,108:2,109:2,,,
109,109:3,109:3,108:3,109:3,,,
109,109:4,109:4,108:4,109:4,,,
109,109:5,109:5,108:5,109:5,,,
109,109:6,109:6,108:6,109:6,,,
109,109:7,109:7,108:7,109:7,,,
109,109:8,109:8,108:8,109:8,,,
109,109:9,109:9,108:9,109:9,,,
109,109:10,109:10,108:10,109:10,,,
109,109:11,109:11,108:11,109:11,,,
109,109:12,109:12,108:12,109:12,,,
109,109:13,109:13,108:13,109:13,,,
109,109:14,109:14,108:14,109:14,,,
109,109:15,109:15,108:15,109:15,,,
109,109:16,109:16,108:16,109:16,,,
109,109:17,109:17,108:17,109:17,,,
109,109:18,109:18,108:18,109:18,,,
109,109:19,109:19,108:19,109:19,,,
109,109:20,109:20,108:20,109:20,,,
109,109:21,109:21,108:21,109:21,,,
109,109:22,109:22,108:22,109:22,,,
109,109:23,109:23,108:23,109:23,,,
109,109:24,109:24,108:24,109:24,,,
109,109:25,109:25,108:25,109:25,,,
109,109:26,109:26,108:26,109:26,,,
109,109:27,109:27,108:27,109:27,,,
109,109:28,109:28,108:28,109:28,,,
109,109:29,109:29,108:29,109:29,,,
109,109:30,109:30,108:30,109:30,,,
109,109:31,109:31,108:31,109:31,,,
110,110:0-110:1,110:0-110:1,109:1,110:0,,,
110,110:2,110:2,109:2,110:2,,,
110,110:3,110:3,109:3,110:3,,,
110,110:4,110:4,109:4,110:4,,,
110,110:5,110:5,109:5,110:5,,,
110,110:6,110:6,109:6,110:6,,,
110,110:7,110:7,109:7,110:7,,,
111,111:1,111:1,110:1,111:1,,,
111,111:2,111:2,110:2,111:2,,,
111,111:3,111:3,110:3,111:3,,,
111,111:4,111:4,110:4,111:4,,,
111,111:5,111:5,110:5,111:5,,,
111,111:6,111:6,110:6,111:6,,,
111,111:7,111:7,110:7,111:7,,,
111,111:8,111:8,110:8,111:8,,,
111,111:9,111:9,110:9,111:9,,,
111,111:10,111:10,110:10,111:10,,,
112,112:1,112:1,111:1,112:1,,,
112,112:2,112:2,111:2,112:2,,,
112,112:3,112:3,111:3,112:3,,,
112,112:4,112:4,111:4,112:4,,,
112,112:5,112:5,111:5,112:5,,,
112,112:6,112:6,111:6,112:6,,,
112,112:7,112:7,111:7,112:7,,,
112,112:8,112:8,111:8,112:8,,,
112,112:9,112:9,111:9,112:9,,,
112,112:10,112:10,111:10,112:10,,,
113,113:1,113:1,112:1,113:1,,,
113,113:2,113:2,112:2,113:2,,,
113,113:3,113:3,112:3,113:3,,,
113,113:4,113:4,112:4,113:4,,,
113,113:5,113:5,112:5,113:5,,,
113,113:6,113:6,112:6,113:6,,,
113,113:7,113:7,112:7,113:7,,,
113,113:8,113:8,112:8,113:8,,,
113,113:9,113:9,112:9,113:9,,,
114,114:1,114:1,113:1,114:1,,,
114,114:2,114:2,113:2,114:2,,,
114,114:3,114:3,113:3,114:3,,,
114,114:4,114:4,113:4,114:4,,,
114,114:5,114:5,113:5,114:5,,,
114,114:6,114:6,113:6,114:6,,,
114,114:7,114:7,113:7,114:7,,,
114,114:8,114:8,113:8,114:8,,,
115,115:1,115:1,113:9,115:1,,,
115,115:2,115:2,113:10,115:2,,,
115,115:3,115:3,113:11,115:3,,,
115,115:4,115:4,113:12,115:4,,,
115,115:5,115:5,113:13,115:5,,,
115,115:6,115:6,113:14,115:6,,,
115,115:7,115:7,113:15,115:7,,,
115,115:8,115:8,113:16,115:8,,,
115,115:9,115:9,113:17,115:9,,,
115,115:10,115:10,113:18,115:10,,,
115,115:11,115:11,113:19,115:11,,,
115,115:12,115:12,113:20,115:12,,,
115,115:13,115:13,113:21,115:13,,,
115,115:14,115:14,113:22,115:14,,,
115,115:15,115:15,113:23,115:15,,,
115,115:16,115:16,113:24,115:16,,,
115,115:17,115:17,113:25,115:17,,,
115,115:18,115:18,113:26,115:18,,,
116,116:1,116:1,114:1,116:1,,,
116,116:2,116:2,114:2,116:2,,,
116,116:3,116:3,114:3,116:3,,,
116,116:4,116:4,114:4,116:4,,,
116,116:5,116:5,114:5,116:5,,,
116,116:6,116:6,114:6,116:6,,,
116,116:7,116:7,114:7,116:7,,,
